251,Gainesville Buchholz (FL),34.026,34.199,.878,31.126,-.946,(FL),48
252,La Puente Bishop Amat (CA),34.014,33.634,.999,31.147,.826,(CA),53
253,Madison County (FL),33.977,33.475,.785,30.452,-2.701,(FL),41
254,Carlsbad La Costa Canyon (CA),33.949,33.464,.953,29.165,-4.037,(CA),28
255,Rancho Cucamonga (CA),33.941,33.678,.906,29.947,-2.065,(CA),31
256,Littleton Columbine (CO),33.922,34.138,.934,30.561,-1.679,(CO),41
257,Frederick Linganore (MD),33.888,33.310,.997,30.560,-2.968,(MD),25
258,Bradenton Manatee (FL),33.841,33.996,.796,30.801,.075,(FL),77
259,Ruston (LA),33.748,33.301,.883,29.906,-1.355,(LA),48
260,Saint Augustine (FL),33.721,33.399,.820,30.440,-1.480,(FL),42
261,Orlando Edgewater (FL),33.713,33.874,.889,30.036,-1.287,(FL),48
262,Vero Beach (FL),33.711,33.801,.832,30.813,-1.063,(FL),41
263,Sarasota Riverview (FL),33.653,33.336,.888,30.944,-.979,(FL),44
264,Missouri City Fort Bend Elkins (TX),33.556,33.817,.913,31.089,-1.418,(TX),27
265,Nashville Christ Presbyterian Academy (TN),33.530,33.439,.959,30.287,-2.507,(TN),27
266,Austin Lake Travis (TX),33.528,33.661,.675,32.922,.876,(TX),40
267,Jacksonville Mandarin (FL),33.390,33.368,.932,30.630,-1.768,(FL),31
268,Powder Springs McEachern (GA),33.361,33.301,.775,31.318,-.560,(GA),44
269,Youngstown Ursuline (OH),33.349,32.948,.923,29.397,-1.233,(OH),38
270,Olathe East (KS),33.310,33.123,.928,28.736,-2.856,(KS),28
271,Tampa Gaither (FL),33.279,33.214,.969,29.010,-2.993,(FL),29
272,Indianapolis Bishop Chatard (IN),33.279,33.484,.875,29.379,-1.310,(IN),50
273,Houston Lamar (TX),33.275,33.304,.858,29.406,-.853,(TX),65
274,Picayune (MS),33.241,33.392,.870,31.881,.726,(MS),49
275,Winston-Salem Mount Tabor (NC),33.240,33.163,.877,31.040,-1.849,(NC),26
276,Stillwater (OK),33.229,33.184,.785,30.110,-.422,(OK),49
277,Solon (OH),33.225,33.103,.875,28.669,-2.315,(OH),41
278,Toledo Central Catholic (OH),33.204,33.329,.863,28.702,-2.080,(OH),45
279,San Antonio Clark (TX),33.202,33.246,.911,31.614,-1.086,(TX),35
280,Honolulu Punahou (HI),33.188,32.837,1.038,30.301,-.324,(HI),54
281,Appleton North (WI),33.166,33.148,.825,27.256,-5.133,(WI),29
282,Layton Northridge (UT),33.165,33.355,1.003,31.501,.275,(UT),29
283,Macomb Dakota (MI),33.109,32.754,.995,29.478,-3.081,(MI),26
284,Tualatin (OR),33.076,33.095,1.130,29.836,-2.662,(OR),25
285,Greenwood Village Cherry Creek (CO),33.028,32.513,.995,29.122,-.462,(CO),58
286,Lexington Catholic (KY),33.027,33.743,.819,34.507,1.778,(KY),29
287,Westlake Village (CA),33.000,33.272,.821,32.016,.026,(CA),30
288,Plantation (FL),32.999,32.780,.780,30.301,-.410,(FL),41
289,Naperville North (IL),32.997,32.434,.977,31.269,.133,(IL),37
290,Winter Garden West Orange (FL),32.968,32.434,.752,30.108,-1.165,(FL),31
291,Goose Creek Stratford (SC),32.937,33.197,1.019,29.464,-2.903,(SC),38
292,Spring Klein (TX),32.924,32.779,.832,28.657,-1.703,(TX),43
293,Wilson West Lawn (PA),32.919,32.934,.921,29.189,-.789,(PA),37
294,Pearland (TX),32.906,33.026,.766,30.155,.096,(TX),47
295,Crawfordville Wakulla (FL),32.861,32.990,.807,30.767,-1.237,(FL),45
296,Overland Park Aquinas (KS),32.859,31.991,.883,29.581,-2.346,(KS),33
297,Port Arthur Jefferson (TX),32.805,32.352,.874,29.218,.793,(TX),40
298,Sumter (SC),32.804,32.288,.905,29.763,-1.516,(SC),45
299,Houston Memorial (TX),32.801,32.509,.905,28.061,-3.249,(TX),53
300,Omaha Millard South (NE),32.798,32.360,.677,29.379,-1.528,(NE),31
301,Venice (FL),32.793,33.482,.784,31.926,.928,(FL),42
302,Waco Consolidated (TX),32.753,32.953,.736,30.776,.825,(TX),59
303,St. Amant (LA),32.753,32.858,.894,31.888,.368,(LA),32
304,Gilbert Highland (AZ),32.743,32.878,.924,28.119,-2.899,(AZ),30
305,Marrero John Ehret (LA),32.736,32.798,.919,30.209,-.943,(LA),36
306,Winnetka New Trier East (IL),32.725,32.567,.887,27.882,-3.008,(IL),26
307,Tupelo (MS),32.702,32.923,.860,29.143,-.938,(MS),49
308,Homestead (FL),32.697,32.720,.927,26.558,-4.103,(FL),34
309,Overland Park Blue Valley Northwest (KS),32.664,31.863,.931,29.210,-2.076,(KS),27
310,Madison-Ridgeland Academy (MS),32.661,32.631,.863,29.701,-2.080,(MS),41
311,Clovis Buchanan (CA),32.621,33.110,1.029,28.469,-2.264,(CA),30
312,Converse Judson (TX),32.593,32.217,.829,32.344,2.384,(TX),59
