"TeamName","State","URL","Date","Location","Opponent","WL","Score","OpponentURL","ScrapedAt","Status"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","9/13","vs","Galva","W","60-0","https://www.maxpreps.com/il/galva/galva-wildcats/football/","2025-02-10T17:06:39.274462","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","9/21","@","Bushnell-Prairie City","W","58-22","https://www.maxpreps.com/il/bushnell/bushnell-prairie-city-spartans/football/","2025-02-10T17:06:39.316652","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","9/27","@","R R (CO-OP)","L","34-22","https://www.maxpreps.com/il/woodhull/ridgewood-alwood-cambridge-spartans/football/","2025-02-10T17:06:39.359076","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","10/4","@","F Flanagan/Woodland","W","46-14","https://www.maxpreps.com/il/flanagan/flanagan-woodland-falcons/football/","2025-02-10T17:06:39.401874","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","10/11","vs","Peoria Heights","W","68-0","https://www.maxpreps.com/il/peoria-heights/peoria-heights-patriots/football/","2025-02-10T17:06:39.442388","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","10/18","@","Biggsville West Central","W","50-8","https://www.maxpreps.com/il/biggsville/biggsville-west-central-heat/football/","2025-02-10T17:06:39.484656","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","10/26","vs","Bushnell-Prairie City","W","64-6","https://www.maxpreps.com/il/bushnell/bushnell-prairie-city-spartans/football/","2025-02-10T17:06:39.526457","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","11/1","vs","Biggsville West Central","W","54-0","https://www.maxpreps.com/il/biggsville/biggsville-west-central-heat/football/","2025-02-10T17:06:39.589788","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","11/8","vs","Martinsville","W","32-20","https://www.maxpreps.com/il/martinsville/martinsville-bluestreaks/football/","2025-02-10T17:06:39.635303","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","11/15","vs","P Pawnee/Lincolnwood","W","52-8","https://www.maxpreps.com/il/pawnee/pawnee-lincolnwood/football/","2025-02-10T17:06:39.694091","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","11/22","vs","M Milledgeville","W","42-14","https://www.maxpreps.com/il/milledgeville/milledgeville-missiles/football/","2025-02-10T17:06:39.739045","Processed"
"Anna-Jonesboro (IL)","(IL)","https://www.maxpreps.com/il/anna/anna-jonesboro-dongola-tigers/football/schedule/","8/30","vs","Harrisburg","L","47-0","https://www.maxpreps.com/il/harrisburg/harrisburg-bulldogs/football/","2025-02-10T17:06:49.824216","Processed"
"Anna-Jonesboro (IL)","(IL)","https://www.maxpreps.com/il/anna/anna-jonesboro-dongola-tigers/football/schedule/","9/6","@","Murphysboro","L","59-7","https://www.maxpreps.com/il/murphysboro/murphysboro-red-devils/football/","2025-02-10T17:06:49.871003","Processed"
"Anna-Jonesboro (IL)","(IL)","https://www.maxpreps.com/il/anna/anna-jonesboro-dongola-tigers/football/schedule/","9/13","@","MCJMG (CO-OP)","L","23-21","https://www.maxpreps.com/il/metropolis/massac-county-joppa-maple-grove-patriots/football/","2025-02-10T17:06:49.916223","Processed"
"Anna-Jonesboro (IL)","(IL)","https://www.maxpreps.com/il/anna/anna-jonesboro-dongola-tigers/football/schedule/","9/20","vs","Nashville","L","48-6","https://www.maxpreps.com/il/nashville/nashville-hornets/football/","2025-02-10T17:06:49.961127","Processed"
"Anna-Jonesboro (IL)","(IL)","https://www.maxpreps.com/il/anna/anna-jonesboro-dongola-tigers/football/schedule/","9/27","@","Benton","L","52-2","https://www.maxpreps.com/il/benton/benton-rangers/football/","2025-02-10T17:06:50.007448","Processed"
"Anna-Jonesboro (IL)","(IL)","https://www.maxpreps.com/il/anna/anna-jonesboro-dongola-tigers/football/schedule/","10/4","vs","Pinckneyville","L","27-14","https://www.maxpreps.com/il/pinckneyville/pinckneyville-panthers/football/","2025-02-10T17:06:50.052194","Processed"
"Anna-Jonesboro (IL)","(IL)","https://www.maxpreps.com/il/anna/anna-jonesboro-dongola-tigers/football/schedule/","10/11","@","DuQuoin","L","49-8","https://www.maxpreps.com/il/duquoin/duquoin-indians/football/","2025-02-10T17:06:50.098233","Processed"
"Anna-Jonesboro (IL)","(IL)","https://www.maxpreps.com/il/anna/anna-jonesboro-dongola-tigers/football/schedule/","10/25","@","Carterville","L","54-6","https://www.maxpreps.com/il/carterville/carterville-lions/football/","2025-02-10T17:06:50.174424","Processed"
