Sport,Home,Away,Date/Time,Score,Status,ScrapedAt
,Football,Manton,Maple City Glen Lake,0-55,Processed,2025-02-01T18:16:55.181039
,Football,Marquette,Gladstone,55-0,Processed,2025-02-01T18:16:55.222038
,Football,Marshall,Richland Gull Lake,38-6,Processed,2025-02-01T18:16:55.260555
,Football,Marysville,Almont,0-35,Processed,2025-02-01T18:16:55.300553
,Football,Mattawan,Vicksburg,18-0,Processed,2025-02-01T18:16:55.355307
,Football,Melvindale,Livonia Clarenceville,0-14,Processed,2025-02-01T18:16:55.395306
,Football,Midland,Cadillac,7-0,Processed,2025-02-01T18:16:55.439818
,Football,Midland Bullock Creek,Sanford Meridian,24-14,Processed,2025-02-01T18:16:55.479825
,Football,Milford,Waterford Kettering,45-13,Processed,2025-02-01T18:16:55.520824
,Football,Millington,Reese,49-6,Processed,2025-02-01T18:16:55.562344
,Football,Montrose,Riverview Gabriel Richard,10-15,Processed,2025-02-01T18:16:55.604339
,Football,Morley Stanwood,Holton,59-0,Processed,2025-02-01T18:16:55.645853
,Football,Mount Pleasant,Saginaw Heritage,24-48,Processed,2025-02-01T18:16:55.685853
,Football,Muskegon Orchard View,Muskegon Oakridge,6-42,Processed,2025-02-01T18:16:55.724853
,Football,Negaunee,Kewaunee (WI),28-7,Processed,2025-02-01T18:16:55.764369
,Football,New Baltimore Anchor Bay,Port Huron,51-13,Processed,2025-02-01T18:16:55.805369
,Football,New Haven,Sterling Heights Parkway Christian,51-20,Processed,2025-02-01T18:16:55.847883
,Football,"Vehicle City Gridiron Classic
New Lothrop",Muskegon Catholic Central,30-29,Processed,2025-02-01T18:16:55.894125
,Football,Newaygo,Kent City,27-18,Processed,2025-02-01T18:16:55.941480
,Football,Northville,Lake Orion,13-21,Processed,2025-02-01T18:16:55.988226
,Football,Onsted,Napoleon,35-20,Processed,2025-02-01T18:16:56.036138
,Football,Orchard Lake St Mary's,Portage Northern,50-19,Processed,2025-02-01T18:16:56.080170
,Football,Ortonville Brandon,Bay City John Glenn,43-40,Processed,2025-02-01T18:16:56.124324
,Football,Oscoda,Roscommon,14-17,Processed,2025-02-01T18:16:56.164838
,Football,Ottawa Lake Whiteford,Blissfield,35-6,Processed,2025-02-01T18:16:56.209459
,Football,Ovid-Elsie,Flint Powers Catholic,49-7,Processed,2025-02-01T18:16:56.251977
,Football,Parchment,Comstock,53-0,Processed,2025-02-01T18:16:56.295975
,Football,Parma Western,Dearborn Divine Child,36-14,Processed,2025-02-01T18:16:56.340169
,Football,Petersburg Summerfield,Waterford Our Lady of the Lakes,22-0,Processed,2025-02-01T18:16:56.383915
,Football,Pewamo-Westphalia,North Muskegon,8-7,Processed,2025-02-01T18:16:56.428445
,Football,Pinckney,Lake Fenton,12-21,Processed,2025-02-01T18:16:56.472400
,Football,Pinconning,Tawas,33-3,Processed,2025-02-01T18:16:56.515988
,Football,Plainwell,Hamilton,7-61,Processed,2025-02-01T18:16:56.561501
,Football,Pontiac,Detroit Douglass,40-0,Processed,2025-02-01T18:16:56.602715
,Football,Pontiac Notre Dame Prep,Detroit Central,49-14,Processed,2025-02-01T18:16:56.647227
,Football,Port Huron Northern,Grosse Pointe South,0-41,Processed,2025-02-01T18:16:56.689227
,Football,Remus Chippewa Hills,Olivet,21-49,Processed,2025-02-01T18:16:56.731604
,Football,Richmond,St Clair,32-35,Processed,2025-02-01T18:16:56.778399
,Football,Riverview,Detroit Renaissance,38-0,Processed,2025-02-01T18:16:56.823582
,Football,Rochester,Fraser,38-7,Processed,2025-02-01T18:16:56.867102
,Football,Rockford,Detroit Cass Tech,30-23,Processed,2025-02-01T18:16:56.911097
,Football,Romeo,Rochester Adams,21-22 (OT),Processed,2025-02-01T18:16:56.955027
,Football,Royal Oak,Detroit Lincoln-King,13-38,Processed,2025-02-01T18:16:56.999029
,Football,Royal Oak Shrine Catholic,Arts & Technology Academy of Pontiac,24-20,Processed,2025-02-01T18:16:57.044548
,Football,Saginaw Swan Valley,Croswell-Lexington,26-33,Processed,2025-02-01T18:16:57.089548
,Football,Saginaw Valley Lutheran,Rochester Hills Lutheran Northwest,21-0,Processed,2025-02-01T18:16:57.133554
,Football,Saline,Brighton,0-1 Forfeit,Processed,2025-02-01T18:16:57.175063
,Football,Sand Creek,Vandercook Lake,50-0,Processed,2025-02-01T18:16:57.215063
,Football,Sandusky,Saginaw Nouvel Catholic Central,14-28,Processed,2025-02-01T18:16:57.255582
,Football,Schoolcraft,Elkton-Pigeon-Bay Port Laker,28-18,Processed,2025-02-01T18:16:57.295874
,Football,Shelby,White Cloud,59-20,Processed,2025-02-01T18:16:57.339018
,Football,"2024 Xenith Prep Kickoff Classic
Southgate Anderson",Trenton,27-26,Processed,2025-02-01T18:16:57.379767
,Football,Sparta,Wyoming,48-8,Processed,2025-02-01T18:16:57.423953
,Football,Spring Lake,Fruitport,40-6,Processed,2025-02-01T18:16:57.463307
,Football,St Clair Shores South Lake,Warren Woods Tower,20-19,Processed,2025-02-01T18:16:57.506495
,Football,St Johns,Okemos,48-21,Processed,2025-02-01T18:16:57.546009
,Football,St Louis,Ithaca,0-53,Processed,2025-02-01T18:16:57.586009
,Football,Sterling Heights Stevenson,Novi,27-3,Processed,2025-02-01T18:16:57.628014
,Football,Stockbridge,Leslie,7-41,Processed,2025-02-01T18:16:57.668211
,Football,Sturgis,Coldwater,8-35,Processed,2025-02-01T18:16:57.710212
,Football,Taylor,Allen Park,8-30,Processed,2025-02-01T18:16:57.749730
,Football,Tecumseh,Jackson Northwest,47-7,Processed,2025-02-01T18:16:57.789727
,Football,Three Rivers,Charlotte,36-0,Processed,2025-02-01T18:16:57.829733
,Football,Traverse City West,Gaylord,6-0,Processed,2025-02-01T18:16:57.873241
,Football,Ubly,Ogemaw Heights,13-29,Processed,2025-02-01T18:16:57.916243
,Football,Unionville-Sebewaing,Saginaw Michigan Lutheran Seminary,14-48,Processed,2025-02-01T18:16:57.959760
,Football,Utica Eisenhower,Oxford,33-16,Processed,2025-02-01T18:16:58.002238
,Football,Vermontville Maple Valley,Potterville,9-8,Processed,2025-02-01T18:16:58.045755
,Football,Walled Lake Central,Berkley,7-0 (OT),Processed,2025-02-01T18:16:58.090751
,Football,Walled Lake Northern,South Lyon,0-35,Processed,2025-02-01T18:16:58.135755
,Football,Warren Cousino,Rochester Hills Stoney Creek,21-42,Processed,2025-02-01T18:16:58.180047
,Football,Warren Lincoln,Romulus Summit Academy North,6-41,Processed,2025-02-01T18:16:58.224007
,Football,Warren Mott,Warren Fitzgerald,38-22,Processed,2025-02-01T18:16:58.270728
,Football,Waterford Mott,Walled Lake Western,14-52,Processed,2025-02-01T18:16:58.314404
,Football,Wayland,Lansing Waverly,49-14,Processed,2025-02-01T18:16:58.358055
