Date,League,Home,Home_Score,Away,Away_Score,Source,ScrapedAt
26-Sep-25,CEN,Iron Ridge,0,Lacombe,40,www.footballalberta.ab.ca,2025-12-07T07:46:34.033272
26-Sep-25,CGY,Bowness,17,Centennial,8,www.footballalberta.ab.ca,2025-12-07T07:46:34.074272
26-Sep-25,CGY,North Trail,12,John G. Diefenbaker,9,www.footballalberta.ab.ca,2025-12-07T07:46:34.114275
26-Sep-25,CGY,Bishop McNally,40,Sir Winston Churchill,0,www.footballalberta.ab.ca,2025-12-07T07:46:34.153784
26-Sep-25,CGY,Father Lacombe,21,Nelson Mandela,0,www.footballalberta.ab.ca,2025-12-07T07:46:34.193785
26-Sep-25,CGY,St. Mary's,35,Robert Thirsk,3,www.footballalberta.ab.ca,2025-12-07T07:46:34.235299
26-Sep-25,CGY,Lester B. Pearson,25,Forest Lawn,20,www.footballalberta.ab.ca,2025-12-07T07:46:34.276299
26-Sep-25,ED1,Harry Ainlay,29,Ross Sheppard,0,www.footballalberta.ab.ca,2025-12-07T07:46:34.314303
26-Sep-25,ED1,Bev Facey,0,Salisbury,52,www.footballalberta.ab.ca,2025-12-07T07:46:34.353813
26-Sep-25,ED1,Austin O'Brien,16,Jasper Place,8,www.footballalberta.ab.ca,2025-12-07T07:46:34.393812
26-Sep-25,ED1(EX),Spruce Grove,32,Notre Dame (RD),59,www.footballalberta.ab.ca,2025-12-07T07:46:34.434328
26-Sep-25,ED3,Queen Elizabeth,0,Ardrossan,64,www.footballalberta.ab.ca,2025-12-07T07:46:34.473329
26-Sep-25,ED3,St. Albert,15,McNally,14,www.footballalberta.ab.ca,2025-12-07T07:46:34.513332
26-Sep-25,IND,Holy Trinity Academy,16,L.C.I.,21,www.footballalberta.ab.ca,2025-12-07T07:46:34.553842
26-Sep-25,9aside(EX),Whitecourt,13,Sexsmith,58,www.footballalberta.ab.ca,2025-12-07T07:46:34.593842
26-Sep-25,ZONE 8,St. Joseph's,41,Peace Wapiti,0,www.footballalberta.ab.ca,2025-12-07T07:46:34.633321
26-Sep-25,PSK,Chinook,29,Catholic Central,30,www.footballalberta.ab.ca,2025-12-07T07:46:34.672321
26-Sep-25,PSK,Raymond,56,Cardston,7,www.footballalberta.ab.ca,2025-12-07T07:46:34.713327
