team_id,team_name,season,season_url,raw_schedule_text
2,Follett Panthers,1980,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1980&GUID=6902471781,"Record: 8-1-0   Head Coach: Guerry Wright
WK Team SC Team SC    
9/4  PFollettv 28 nLeforsy 0
9/11  PFollett) 64 mTyrone, OK3 21 E
9/18  PFollettv 37 xShattuck, OKy 0 E
10/2  PFollettv 40 PForgan, OKy 0 E
10/16  PFollettv 73 LMiamiy 0 D
10/23  PFollettv 63 *Groomy 0 D
10/30  mBookerv 35 PFollettv 2 D
11/7  PFollett7 55 nClaudev 22 D
11/14  PFollettv 24 7McLeanf 6 D



"
2,Follett Panthers,1979,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1979&GUID=1535895467,"Record: 6-4-0   Head Coach: Guerry Wright
WK Team SC Team SC    
9/28  mBookerv 20 PFollettp 8 D
9/14  PFollettv 28 xShattuck, OKs 14 E
9/21  PFolletta 48 LKeyes, OKv 3 E
10/5  PFollettv 40 PForgan, OKv 18 E
11/9  PFollettv 31 mTyrone, OKp 8 E
10/12  PFollettv 36 *Texlinef 6 D
10/19  LMiamiv 15 PFollettv 12 D
10/26  7Wheelerv 57 PFollettv 19 D
11/2  *Groomv 22 PFollettd 7 D
11/16  PFollettv 34 7McLeanv 27 D



"
2,Follett Panthers,1978,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1978&GUID=4979832172,"Record: 5-4-0   Head Coach: Guerry Wright
WK Team SC Team SC    
  PFollettv 40 xShattuck, OKv 22 E
  PFollettv 58 LKeyes, OKv 22 E
  TLaVerne, OKv 36 PFollettf 6 E
  mBookerv 30 PFollettf 6 D
  PFollettv 30 *Texliney 0 D
  PFollettv 18 LMiamiy 0 D
  7Wheelerv 49 PFollettv 18 D
  *Groomv 33 PFollettv 12 D
  PFollettv 46 7McLeanv 20 D



"
2,Follett Panthers,1977,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1977&GUID=9959606528,"Record: 2-8-0   Head Coach: Guerry Wright
WK Team SC Team SC    
9/2  xShattuck, OKs 14 PFollettf 6 E
9/9  7Wheelerv 54 P@Follettv 28 D
9/23  PFollettv 43 #Higginsf 6 D
10/7  TLaVerne, OKv 36 PFollettf 6 E
10/14  7McLeanv 28 PFollettv 20 D
10/21  PFollettv 28 nLeforsv 2 D
10/28  *Groomv 40 PFolletty 0 D
11/4  *Texlinev 12 PFollettd 7 D
11/11  LMiamiv 32 PFollettv 19 D
  mBookerv 19 PFollettd 7 D



"
2,Follett Panthers,1976,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1976&GUID=5020283461,"Record: 5-3-0   Head Coach: Guerry Wright
WK Team SC Team SC    
9/4  PFolletts 14 xShattuck, OKv 9
9/10  7@Wheeler3 21 PFolletty 0 D
9/17  mBooker3 21 P@Follettr 16 D
9/24  PFollettv 35 #@Higginsv 10 D
10/1  LMiamif 6 P@Folletty 0 D
10/22  PFollettv 28 nLeforsf 6 D
11/5  PFollettv 40 *Texlined 7 D
11/12  PFollettv 27 7McLeanf 6 D
  PFollettv *Groomv D



"
2,Follett Panthers,1975,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1975&GUID=7182460427,"Record: 9-2-0   Head Coach: Guerry Wright
WK Team SC Team SC    
9/5  PFollettv 44 *Balko, OKs 14 E
9/12  PFollettv 20 3Rolla, KSp 8 E
9/26  7Waynoka, OKv 24 PFollettv 22 E
10/3  PFollettt 50 #Turpin, OKv 46 E
10/10  PFollettv 35 PForgan, OKf 6 E
10/17  PFollettv 22 L@Miamis 14 D
10/24  P@Follettv 44 mTyrone, OKv 10 E
10/31  P@Follettt 50 3Patton Springsy 0 D
11/7  PFolletta 48 7Darrouzettp 8 D
11/21  PFollettv 26 *Welch Dawson @Panhandlev 22 S
11/29  *Leakey @BWoodv 32 PFolletts 14 F



"
2,Follett Panthers,1974,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1974&GUID=6007514000,"Record: 6-2-0   Head Coach: Guerry Wright
WK Team SC Team SC    
9/6  *Balko, OKv 34 PFollettv 30 E
10/4  PFollettv 43 #Turpin, OKv 26 E
10/18  P@Follettv 32 LMiamiv 22 D
10/25  mTyrone, OKv 28 PFollettv 26 E
11/1  PFollettv 39 3@Patton Springsv 20 D
11/8  PFollettv 52 7Darrouzettv 28 D
11/21  PFollettv 36 TSmyerv 28 S
11/29  PFollettv 28 TLa Pryor @SWaterv 22 F



"
2,Follett Panthers,1973,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1973&GUID=9532353282,"Record: 5-2-1   Head Coach: Guerry Wright
WK Team SC Team SC    
9/7  *@Balko, OKv 22 PFollettv 20 E
9/14  PFollettv 62 7@Estelliney 0 D
9/21  P@Follettv 54 mTyrone, OKv 20 E
9/28  P@Follettv TGoodwell, OKv E
10/5  P@Follettv 20 #Turpin, OKv 20 E
10/12  P@Follettv 49 LHelena, OKy 0 E
10/19  PFollettv 62 L@Miamip 8 D
10/26  PFollettv L@Guthriev D
11/2  m@Goreev 42 PFollettv 18 D
11/9  P@Follett$ 45 3Patton Springsv 18 D



"
2,Follett Panthers,1972,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1972&GUID=6302043199,"Record: 5-3-1   Head Coach: Guerry Wright
WK Team SC Team SC    
9/8  *Balko, OKv 22 P@Folletts 14 E
9/15  #@Turpin, OKv 30 PFollettf 6
9/22  PFollettv 26 m@Tyrone, OKv 12
9/29  PFollettv 68 T@Goodwell, OKy 0 E
10/20  P@Follettf 6 LMiamif 6 D
10/27  PFollettv 27 L@Guthriev 12 D
11/10  PFollettv 30 3@Patton Springsp 8 D
11/3  mGoree) 64 P@Follettv 28 D
11/17  P@Follettv 1 7Estelliney 0 D



"
2,Follett Panthers,1971,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1971&GUID=681388975,"Record: 0-9-0   Head Coach: Guerry Wright
WK Team SC Team SC    
9/10  7@Buffalo Valley, OKv 34 PFollett3 21
9/17  #Turpin, OKv 30 PFollettv 20 E
9/24  PCanadianv 41 PFollettv 12
10/1  x@Shattuck, OKv 22 PFollettv 12 E
10/8  *@Hooker, OKv 26 PFollettf 6
10/28  mBookerv 12 PFolletty 0 D
11/5  *@Texlinev 12 PFollettf 6 D
11/12  *Grooms 14 P@Follettd 7 D
11/19  nLeforsv 47 PFollettv 24 D



"
