State_Code,Season,Teams,Total_Games,Actual_Avg_Games,Expected_Games_Per_Team,Coverage_Pct,Priority,Games_Gap
(DC),1961,10,38,3.8,4.0,95.0,GOOD,0.2
(KS),1966,267,1014,3.8,4.0,95.0,GOOD,0.2
(NV),1967,15,57,3.8,4.0,95.0,GOOD,0.2
(AL),1969,407,1935,4.75,5.0,95.0,GOOD,0.25
(ND),1971,15,57,3.8,4.0,95.0,GOOD,0.2
(PA),1963,656,3123,4.76,5.0,95.2,GOOD,0.24
(WA),1964,222,845,3.81,4.0,95.25,GOOD,0.19
(WA),1967,249,948,3.81,4.0,95.25,GOOD,0.19
(KS),1968,288,1096,3.81,4.0,95.25,GOOD,0.19
(WY),1969,74,282,3.81,4.0,95.25,GOOD,0.19
(VT),1968,17,65,3.82,4.0,95.5,GOOD,0.18
(WY),1972,72,275,3.82,4.0,95.5,GOOD,0.18
(MI),1963,594,2274,3.83,4.0,95.75,GOOD,0.17
(ME),1965,70,268,3.83,4.0,95.75,GOOD,0.17
(WA),1974,247,946,3.83,4.0,95.75,GOOD,0.17
(PA),1960,644,3082,4.79,5.0,95.8,GOOD,0.21
(MI),1960,566,2173,3.84,4.0,96.0,GOOD,0.16
(WA),1971,261,1002,3.84,4.0,96.0,GOOD,0.16
(NE),1973,329,1264,3.84,4.0,96.0,GOOD,0.16
(MI),1962,579,2231,3.85,4.0,96.25,GOOD,0.15
(WY),1974,74,285,3.85,4.0,96.25,GOOD,0.15
(MI),1970,600,2317,3.86,4.0,96.5,GOOD,0.14
(AL),1964,345,1665,4.83,5.0,96.6,GOOD,0.17
(VA),1967,270,1305,4.83,5.0,96.6,GOOD,0.17
(KS),1967,284,1098,3.87,4.0,96.75,GOOD,0.13
(CO),1971,181,701,3.87,4.0,96.75,GOOD,0.13
(VA),1968,283,1370,4.84,5.0,96.8,GOOD,0.16
(WY),1960,69,268,3.88,4.0,97.0,GOOD,0.12
(NC),1961,189,917,4.85,5.0,97.0,GOOD,0.15
(MT),1965,8,31,3.88,4.0,97.0,GOOD,0.12
(VA),1964,252,1225,4.86,5.0,97.2,GOOD,0.14
(AL),1970,414,2010,4.86,5.0,97.2,GOOD,0.14
(AL),1972,450,2186,4.86,5.0,97.2,GOOD,0.14
(MI),1961,584,2270,3.89,4.0,97.25,GOOD,0.11
(MI),1966,608,2366,3.89,4.0,97.25,GOOD,0.11
(NH),1967,36,140,3.89,4.0,97.25,GOOD,0.11
(PA),1967,617,3002,4.87,5.0,97.4,GOOD,0.13
(WY),1961,67,261,3.9,4.0,97.5,GOOD,0.1
(WI),1974,387,1510,3.9,4.0,97.5,GOOD,0.1
(VA),1963,246,1200,4.88,5.0,97.6,GOOD,0.12
(ND),1962,11,43,3.91,4.0,97.75,GOOD,0.09
(OR),1967,148,578,3.91,4.0,97.75,GOOD,0.09
(WA),1970,269,1053,3.91,4.0,97.75,GOOD,0.09
(PA),1962,642,3142,4.89,5.0,97.8,GOOD,0.11
(PA),1966,622,3041,4.89,5.0,97.8,GOOD,0.11
(MI),1965,602,2358,3.92,4.0,98.0,GOOD,0.08
(NE),1970,322,1262,3.92,4.0,98.0,GOOD,0.08
(NE),1972,336,1320,3.93,4.0,98.25,GOOD,0.07
(VA),1970,299,1471,4.92,5.0,98.4,GOOD,0.08
(NC),1970,286,1406,4.92,5.0,98.4,GOOD,0.08
(WA),1965,224,882,3.94,4.0,98.5,GOOD,0.06
(MI),1967,598,2354,3.94,4.0,98.5,GOOD,0.06
(MI),1969,608,2394,3.94,4.0,98.5,GOOD,0.06
(ND),1969,18,71,3.94,4.0,98.5,GOOD,0.06
(CO),1973,194,764,3.94,4.0,98.5,GOOD,0.06
(PA),1968,614,3026,4.93,5.0,98.6,GOOD,0.07
(KS),1965,267,1055,3.95,4.0,98.75,GOOD,0.05
(IL),1970,515,2038,3.96,4.0,99.0,GOOD,0.04
(MI),1971,575,2279,3.96,4.0,99.0,GOOD,0.04
(VA),1965,258,1279,4.96,5.0,99.2,GOOD,0.04
(PA),1972,612,3034,4.96,5.0,99.2,GOOD,0.04
(PA),1973,617,3062,4.96,5.0,99.2,GOOD,0.04
(MI),1968,604,2399,3.97,4.0,99.25,GOOD,0.03
(WI),1972,393,1562,3.97,4.0,99.25,GOOD,0.03
